system:index,sum,Country,,
2014/1/1,881512.4572,Japan,,
2014/2/1,827345.3551,Japan,,
2014/3/1,729110.4619,Japan,,
2014/4/1,612665.8866,Japan,,
2014/5/1,661434.5027,Japan,,
2014/6/1,596606.295,Japan,,
2014/7/1,638753.413,Japan,,
2014/8/1,647490.7292,Japan,,
2014/9/1,596215.2389,Japan,,
2014/10/1,594984.6078,Japan,,
2014/11/1,536998.751,Japan,,
2014/12/1,913134.778,Japan,,
2015/1/1,845822.6629,Japan,,
2015/2/1,828679.1686,Japan,,
2015/3/1,655037.561,Japan,,
2015/4/1,595975.2497,Japan,,
2015/5/1,632806.6924,Japan,,
2015/6/1,593393.2753,Japan,,
2015/7/1,618224.4245,Japan,,
2015/8/1,541349.7279,Japan,,
2015/9/1,603464.0599,Japan,,
2015/10/1,628669.2256,Japan,,
2015/11/1,617934.5876,Japan,,
2015/12/1,734494.6354,Japan,,
2016/1/1,831307.9324,Japan,,
2016/2/1,794214.3223,Japan,,
2016/3/1,680120.7476,Japan,,
2016/4/1,562232.2161,Japan,,
2016/5/1,599715.9396,Japan,,
2016/6/1,635683.4518,Japan,,
2016/7/1,548083.6741,Japan,,
2016/8/1,562133.2983,Japan,,
2016/9/1,554912.0616,Japan,,
2016/10/1,627917.7671,Japan,,
2016/11/1,629499.0576,Japan,,
2016/12/1,789054.242,Japan,,
2017/1/1,924326.8395,Japan,,
2017/2/1,906280.3133,Japan,,
2017/3/1,759900.5141,Japan,,
2017/4/1,687320.3255,Japan,,
2017/5/1,762506.3054,Japan,,
2017/6/1,726824.115,Japan,,
2017/7/1,671432.9867,Japan,,
2017/8/1,683898.0153,Japan,,
2017/9/1,673355.6964,Japan,,
2017/10/1,753755.0252,Japan,,
2017/11/1,814882.3803,Japan,,
2017/12/1,922820.7577,Japan,,
2018/1/1,1000273.04,Japan,,
2018/2/1,1019058.191,Japan,,
2018/3/1,799414.9198,Japan,,
2018/4/1,703111.443,Japan,,
2018/5/1,759703.2048,Japan,,
2018/6/1,699349.7369,Japan,,
2018/7/1,675533.495,Japan,,
2018/8/1,710659.7785,Japan,,
2018/9/1,620870.8459,Japan,,
2018/10/1,701472.4962,Japan,,
2018/11/1,685713.286,Japan,,
2018/12/1,869409.1667,Japan,,
